COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
LLUB,N,0.0,CHEVRON,2024-01-05,95.5,93.9,95.0,93.9,152,381164.0,36197551.7
LLUB,N,0.0,CHEVRON,2024-01-08,95.0,93.5,94.0,95.0,53,99988.0,9410627.5
LLUB,N,0.0,CHEVRON,2024-01-09,94.3,93.5,94.0,94.0,40,41210.0,3874591.9
LLUB,N,0.0,CHEVRON,2024-01-10,94.3,92.4,92.8,94.3,45,4333.0,403429.2
LLUB,N,0.0,CHEVRON,2024-01-11,93.4,92.6,93.0,93.4,14,663.0,61704.3
LLUB,N,0.0,CHEVRON,2024-01-12,94.2,92.9,93.5,92.9,45,126940.0,11812697.8
LLUB,N,0.0,CHEVRON,2024-01-16,94.0,93.2,93.6,93.2,40,34219.0,3197400.2
LLUB,N,0.0,CHEVRON,2024-01-17,93.7,93.0,93.4,93.5,41,40630.0,3797592.0
LLUB,N,0.0,CHEVRON,2024-01-18,93.6,93.0,93.5,93.0,40,51772.0,4840058.0
LLUB,N,0.0,CHEVRON,2024-01-19,94.2,93.1,93.5,93.1,42,264848.0,24866999.1
LLUB,N,0.0,CHEVRON,2024-01-22,94.0,93.1,93.4,93.5,18,6453.0,603069.0
LLUB,N,0.0,CHEVRON,2024-01-23,94.9,93.4,94.0,93.7,102,380169.0,35712931.0
LLUB,N,0.0,CHEVRON,2024-01-24,94.4,94.0,94.0,94.2,48,56864.0,5346150.8
LLUB,N,0.0,CHEVRON,2024-01-26,94.3,93.6,94.0,94.2,23,3325.0,312519.9
LLUB,N,0.0,CHEVRON,2024-01-29,94.2,92.2,94.0,94.0,27,2909.0,272649.0
LLUB,N,0.0,CHEVRON,2024-01-30,94.1,93.5,94.0,94.0,32,15372.0,1443751.7
LLUB,N,0.0,CHEVRON,2024-01-31,94.4,94.0,94.1,94.1,33,24183.0,2275476.3
LLUB,N,0.0,CHEVRON,2024-02-01,94.4,93.5,94.0,94.4,24,25594.0,2405792.9
LLUB,N,0.0,CHEVRON,2024-02-02,94.3,94.0,94.0,94.1,51,122001.0,11469396.2
LLUB,N,0.0,CHEVRON,2024-02-06,95.4,93.8,95.0,93.8,79,93217.0,8850569.2
LLUB,N,0.0,CHEVRON,2024-02-07,96.0,92.1,94.4,95.0,86,170650.0,16281643.2
LLUB,N,0.0,CHEVRON,2024-02-08,96.0,94.0,96.0,94.0,57,54212.0,5185213.3
