COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
COMB,N,0.0,COMMERCIAL BANK,2021-03-26,89.9,87.5,88.6,88.6,192,290410.0,25705962.2
COMB,N,0.0,COMMERCIAL BANK,2021-03-29,92.5,88.8,90.8,90.8,362,5840761.0,515015045.3
COMB,N,0.0,COMMERCIAL BANK,2021-03-30,91.0,90.0,90.2,90.2,399,909770.0,82150501.0
COMB,N,0.0,COMMERCIAL BANK,2021-03-31,88.0,85.1,85.5,85.5,391,172363.0,14849779.6
COMB,N,0.0,COMMERCIAL BANK,2022-01-03,80.9,79.1,80.2,79.1,250,793611.0,63577848.4
COMB,N,0.0,COMMERCIAL BANK,2022-01-04,80.2,79.5,79.8,80.2,174,280398.0,22368307.5
COMB,N,0.0,COMMERCIAL BANK,2022-01-05,80.5,79.5,79.8,80.4,167,387793.0,30970594.5
COMB,N,0.0,COMMERCIAL BANK,2022-01-06,80.0,79.3,79.7,80.0,136,155339.0,12413452.5
COMB,N,0.0,COMMERCIAL BANK,2022-01-07,80.0,79.0,79.8,79.6,265,717289.0,56854875.1
COMB,N,0.0,COMMERCIAL BANK,2022-01-10,84.0,80.0,82.9,80.3,486,1277442.0,104370344.5
COMB,N,0.0,COMMERCIAL BANK,2022-01-11,84.0,81.5,81.7,84.0,201,139580.0,11496263.8
COMB,N,0.0,COMMERCIAL BANK,2022-01-12,82.8,80.9,81.0,81.6,184,332478.0,27096013.2
COMB,N,0.0,COMMERCIAL BANK,2022-01-13,82.0,80.1,81.8,81.5,144,130266.0,10558903.4
COMB,N,0.0,COMMERCIAL BANK,2022-01-18,83.5,81.0,81.9,81.5,220,345660.0,28422961.4
COMB,N,0.0,COMMERCIAL BANK,2022-01-19,83.2,81.5,82.8,81.9,151,1183206.0,98125495.8
COMB,N,0.0,COMMERCIAL BANK,2022-01-20,83.6,82.4,83.3,82.9,165,460955.0,38140503.2
COMB,N,0.0,COMMERCIAL BANK,2022-01-21,84.3,83.5,83.5,83.9,170,691101.0,57773556.1
COMB,N,0.0,COMMERCIAL BANK,2022-01-24,85.0,83.3,84.5,84.0,228,291656.0,24579565.3
