COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
JKH,N,0.0,JKH,2024-12-13,21.6,21.3,21.4,21.5,733,10808627.0,231612950.7
JKH,N,0.0,JKH,2024-12-16,21.9,21.4,21.7,21.5,984,24740274.0,532379417.2
JKH,N,0.0,JKH,2024-12-17,22.6,21.8,22.3,21.9,2044,29499707.0,658662037.3
JKH,N,0.0,JKH,2024-12-18,22.5,22.0,22.3,22.4,988,13000895.0,289558222.5
JKH,N,0.0,JKH,2024-12-19,22.7,22.0,22.5,22.4,1100,17966259.0,403662491.5
JKH,N,0.0,JKH,2024-12-20,22.7,22.4,22.5,22.6,1060,11034917.0,248613964.6
JKH,N,0.0,JKH,2024-12-23,22.6,22.3,22.4,22.5,1089,14624986.0,329026473.6
JKH,N,0.0,JKH,2024-12-24,22.5,22.3,22.4,22.4,858,6628564.0,148370288.1
JKH,N,0.0,JKH,2024-12-26,22.4,22.1,22.2,22.4,1130,7103263.0,158121895.8
JKH,N,0.0,JKH,2024-12-27,22.4,22.2,22.3,22.3,815,11082428.0,246835868.8
JKH,N,0.0,JKH,2024-12-30,22.7,22.3,22.6,22.3,1198,29700578.0,668601359.6
JKH,N,0.0,JKH,2024-12-31,22.8,22.5,22.6,22.6,695,11771499.0,266183788.4
JKH,N,0.0,JKH,2025-01-02,23.7,22.5,23.6,23.6,1989,54072730.0,1256468608.5
JKH,N,0.0,JKH,2025-01-03,24.4,23.6,23.8,23.8,2818,37656278.0,906312955.9
JKH,N,0.0,JKH,2025-01-06,24.5,23.5,23.9,23.9,2073,33480877.0,802694914.6
JKH,N,0.0,JKH,2025-01-07,24.0,23.4,23.9,23.9,878,12086657.0,287883530.4
JKH,N,0.0,JKH,2025-01-08,24.0,23.8,23.9,23.9,672,13461288.0,321801868.0
JKH,N,0.0,JKH,2025-01-09,24.2,23.7,23.8,23.8,914,27332514.0,655134241.4
JKH,N,0.0,JKH,2025-01-10,24.0,23.6,23.9,23.9,626,9314437.0,222035646.7
JKH,N,0.0,JKH,2025-01-15,24.1,23.9,24.0,24.0,769,18868033.0,452786837.2
JKH,N,0.0,JKH,2025-01-16,24.0,23.9,23.9,23.9,625,20450609.0,489657888.6
JKH,N,0.0,JKH,2025-01-17,24.1,23.8,24.0,24.0,567,20822574.0,499555540.1
JKH,N,0.0,JKH,2025-01-20,24.0,23.8,23.9,23.9,583,4771421.0,113961143.9
JKH,N,0.0,JKH,2025-01-21,23.9,23.6,23.7,23.7,1157,10608273.0,251379181.0
JKH,N,0.0,JKH,2025-01-22,24.1,23.7,24.0,24.0,778,24585666.0,588410770.1
JKH,N,0.0,JKH,2025-01-23,24.1,23.9,23.9,23.9,476,12744033.0,305300123.3
JKH,N,0.0,JKH,2025-01-24,23.9,23.4,23.5,23.5,1579,18756458.0,441970693.4
JKH,N,0.0,JKH,2025-01-27,23.6,22.8,23.1,23.1,2037,38084982.0,878353655.6
JKH,N,0.0,JKH,2025-01-28,23.1,22.8,22.9,22.9,1268,29630667.0,679121621.3
JKH,N,0.0,JKH,2025-01-29,23.0,22.5,22.6,22.6,1821,55594371.0,1256762981.7
JKH,N,0.0,JKH,2025-01-30,22.9,22.6,22.7,22.7,1560,132505507.0,2997518017.5
JKH,N,0.0,JKH,2025-01-31,23.0,22.7,22.7,22.7,722,7908822.0,180283848.7
JKH,N,0.0,JKH,2025-02-03,22.7,22.5,22.6,22.6,906,15043942.0,339940503.0
JKH,N,0.0,JKH,2025-02-05,22.6,21.9,22.0,22.0,2048,23174251.0,512149973.8
JKH,N,0.0,JKH,2025-02-06,22.4,22.0,22.2,22.2,671,4511388.0,100223227.3
